time,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1713795752829237880,0.0,0.0,0.0,0.0,0.0,1.5
1713795752837663831,0.0,0.0,0.0,0.0,0.0,1.38
1713795752845195174,0.0,0.0,0.0,0.0,0.0,1.38
1713795752857023828,0.0,0.0,0.0,0.0,0.0,1.38
1713795752866909057,0.0,0.0,0.0,0.0,0.0,1.38
1713795752878677856,0.0,0.0,0.0,0.0,0.0,1.38
1713795752886078595,0.0,0.0,0.0,0.0,0.0,1.08
1713795752895636545,0.0,0.0,0.0,0.0,0.0,1.08
1713795752905961010,0.0,0.0,0.0,0.0,0.0,0.83
1713795752917088869,0.0,0.0,0.0,0.0,0.0,0.83
1713795752928874569,0.0,0.0,0.0,0.0,0.0,0.83
1713795752935399839,0.0,0.0,0.0,0.0,0.0,0.83
1713795752951509249,0.0,0.0,0.0,0.0,0.0,0.05
1713795752958731961,0.0,0.0,0.0,0.0,0.0,0.05
1713795752967745492,0.0,0.0,0.0,0.0,0.0,0.05
1713795752980168571,0.0,0.0,0.0,0.0,0.0,0.05
1713795752987072105,0.0,0.0,0.0,0.0,0.0,0.05
1713795752996919200,0.0,0.0,0.0,0.0,0.0,0.0
1713795753009530154,0.0,0.0,0.0,0.0,0.0,0.0
1713795753015823268,0.0,0.0,0.0,0.0,0.0,0.0
1713795753025863756,0.0,0.0,0.0,0.0,0.0,0.0
1713795753039932940,0.0,0.0,0.0,0.0,0.0,0.0
1713795753047643917,0.0,0.0,0.0,0.0,0.0,0.0
1713795753057819968,0.0,0.0,0.0,0.0,0.0,0.0
1713795753066770921,0.0,0.0,0.0,0.0,0.0,0.0
1713795753075251347,0.0,0.0,0.0,0.0,0.0,0.0
1713795753085650404,0.0,0.0,0.0,0.0,0.0,0.0
1713795753096460551,0.0,0.0,0.0,0.0,0.0,0.0
1713795753106459273,0.0,0.0,0.0,0.0,0.0,0.0
1713795753118923697,0.0,0.0,0.0,0.0,0.0,0.0
1713795753128084315,0.0,0.0,0.0,0.0,0.0,0.0
1713795753135004262,0.0,0.0,0.0,0.0,0.0,0.0
1713795753148718719,0.0,0.0,0.0,0.0,0.0,0.0
1713795753158052964,0.0,0.0,0.0,0.0,0.0,0.0
1713795753165902019,0.0,0.0,0.0,0.0,0.0,0.0
1713795753176212097,0.0,0.0,0.0,0.0,0.0,0.0
1713795753185572672,0.0,0.0,0.0,0.0,0.0,0.0
1713795753196954616,0.0,0.0,0.0,0.0,0.0,0.0
1713795753209366728,0.0,0.0,0.0,0.0,0.0,0.0
1713795753217321664,0.0,0.0,0.0,0.0,0.0,0.0
1713795753225879405,0.0,0.0,0.0,0.0,0.0,0.0
1713795753235566493,0.0,0.0,0.0,0.0,0.0,0.0
1713795753249417072,0.0,0.0,0.0,0.0,0.0,0.0
1713795753257366978,0.0,0.0,0.0,0.0,0.0,0.0
1713795753268185157,0.0,0.0,0.0,0.0,0.0,0.0
1713795753278801562,0.0,0.0,0.0,0.0,0.0,0.0
1713795753286301476,0.0,0.0,0.0,0.0,0.0,0.0
1713795753295157862,0.0,0.0,0.0,0.0,0.0,0.0
1713795753307279572,0.0,0.0,0.0,0.0,0.0,0.0
1713795753314460728,0.0,0.0,0.0,0.0,0.0,0.0
1713795753325028593,0.0,0.0,0.0,0.0,0.0,0.0
